ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimeintoID
4329,Vandalismo,2024-02-17,Abierta,['324-78-3867'],['MNT-00424']
4330,Vandalismo,23/06/2024,Abierta,"['789-17-0537', '225-88-5207', '928-48-5951']",['MNT-06770']
4331,Mal funcionamiento,31/10/2023,Abierta,['310-82-1125'],['MNT-13687']
4332,Vandalismo,02-08-2024,Cerrada,['381-18-9944'],['MNT-07255']
4333,Desgaste,21/08/2024,Cerrada,"['036-23-1601', '517-49-3292', '724-07-0628']","['MNT-07206', 'MNT-08084']"
4334,Mal funcionamiento,06/01/2024,Cerrada,['680-17-6803'],['MNT-06694']
4335,Rotura,17-12-2023,Abierta,['795-88-5629'],['MNT-03103']
4336,Mal funcionamiento,12-24-2023,Cerrada,"['323-54-8483', '291-71-0393', '516-40-3058']",['MNT-04347']
4337,Mal funcionamiento,02/02/2024,Cerrada,"['795-38-3737', '199-84-4323', '151-90-7763']","['MNT-00643', 'MNT-05204']"
4338,Vandalismo,06-17-2024,Abierta,"['053-01-7850', '956-44-5161', '338-91-7471']",['MNT-11286']
4339,Desgaste,22-09-2024,Cerrada,"['963-17-1184', '226-68-0851', '667-93-4604']","['MNT-09866', 'MNT-12456']"
4340,Rotura,03-18-2024,Cerrada,['539-52-5884'],['MNT-02056']
4341,Vandalismo,2024-05-26,Abierta,"['432-50-7554', '210-32-6662']",['MNT-08790']
4342,Mal funcionamiento,2024/08/11,Abierta,['160-29-1596'],['MNT-02736']
4343,Rotura,2023/11/11,Abierta,"['539-06-1461', '990-76-4251', '911-20-6950']",['MNT-07087']
4344,Desgaste,16/01/2024,Abierta,"['793-51-8729', '173-93-6519']",['MNT-00654']
4345,Rotura,2024-04-22,Cerrada,"['414-08-3149', '893-15-6313', '855-84-4272']",['MNT-13776']
4346,Vandalismo,26/01/2024,Cerrada,['617-05-7731'],['MNT-02256']
4347,Desgaste,12/06/2024,Abierta,['809-46-3445'],['MNT-06360']
4348,Mal funcionamiento,16/01/2024,Cerrada,['300-08-3287'],['MNT-05819']
4349,Rotura,06-03-2024,Abierta,"['281-61-6259', '857-74-3984', '947-69-1806']","['MNT-13577', 'MNT-13690']"
4350,Rotura,2024/01/09,Abierta,"['409-03-6491', '174-65-0652', '681-18-3487']",['MNT-01666']
4351,Mal funcionamiento,11-07-2023,Cerrada,['398-15-5226'],"['MNT-07091', 'MNT-11718']"
4352,Vandalismo,2024-04-28,Abierta,"['022-70-1833', '856-02-4219', '377-17-9383']",['MNT-07159']
4353,Mal funcionamiento,15/07/2024,Abierta,['449-64-4650'],['MNT-13185']
4354,Rotura,2024/06/22,Cerrada,['289-55-2531'],['MNT-09160']
4355,Mal funcionamiento,19/08/2024,Cerrada,"['338-32-5006', '408-99-3170', '323-33-7589']",['MNT-14781']
4356,Desgaste,10-13-2024,Cerrada,['614-44-9423'],['MNT-12010']
4357,Rotura,2024-04-30,Cerrada,"['650-82-4013', '949-72-7135', '006-78-5684']",['MNT-04362']
4358,Desgaste,2024-08-24,Abierta,"['182-06-7853', '298-50-2590', '467-93-8006']",['MNT-09313']
4359,Mal funcionamiento,2023-10-20,Abierta,"['097-60-8736', '662-95-7435']",['MNT-12169']
4360,Vandalismo,2023-12-30,Abierta,"['643-61-6538', '159-84-3229']",['MNT-09410']
4361,Vandalismo,2024-07-28,Cerrada,['161-39-8033'],"['MNT-06455', 'MNT-07811']"
4362,Desgaste,2024/08/26,Cerrada,"['570-93-3986', '784-50-2421']",['MNT-00732']
4363,Desgaste,2023-12-27,Abierta,"['646-09-4869', '800-23-6259', '697-08-2975']",['MNT-10012']
4364,Desgaste,2024/01/04,Cerrada,"['152-11-9093', '249-92-0898']",['MNT-10151']
4365,Rotura,07-23-2024,Cerrada,"['849-79-8851', '948-68-9260', '218-02-7266']",['MNT-10359']
4366,Rotura,03-28-2024,Cerrada,"['725-93-0575', '783-28-1044', '474-77-3587']",['MNT-08575']
4367,Rotura,04/04/2024,Abierta,['141-50-9456'],['MNT-11171']
4368,Rotura,2024/03/08,Cerrada,['217-51-2980'],['MNT-13993']
4369,Desgaste,2024-02-23,Cerrada,"['236-22-0454', '643-01-5437', '696-15-0294']",['MNT-09130']
4370,Desgaste,25-05-2024,Cerrada,"['250-52-6142', '350-87-3230']",['MNT-10645']
4371,Mal funcionamiento,09-17-2024,Abierta,"['464-36-0095', '021-18-6025']",['MNT-05936']
4372,Desgaste,16/02/2024,Cerrada,['481-18-9865'],['MNT-04570']
4373,Mal funcionamiento,10-17-2023,Cerrada,['062-30-2784'],['MNT-01153']
4374,Vandalismo,2024-10-10,Cerrada,['688-20-1957'],"['MNT-06362', 'MNT-06872', 'MNT-11424']"
4375,Mal funcionamiento,28-01-2024,Abierta,['486-60-9544'],"['MNT-11549', 'MNT-12769']"
4376,Vandalismo,03/12/2023,Abierta,['037-37-8410'],['MNT-10380']
4377,Rotura,08-01-2024,Abierta,['297-46-2043'],"['MNT-04168', 'MNT-08834']"
4378,Vandalismo,10-10-2024,Abierta,"['155-80-2205', '504-03-4812', '499-05-5451']",['MNT-10429']
4379,Vandalismo,2023/11/12,Cerrada,"['579-97-3631', '430-99-2291', '296-43-3824']",['MNT-04167']
4380,Rotura,24-10-2023,Abierta,['980-70-8235'],['MNT-04201']
4381,Rotura,2024-02-11,Cerrada,"['825-73-2192', '119-40-2394']","['MNT-00243', 'MNT-00996']"
4382,Rotura,2024/06/01,Cerrada,"['319-95-2910', '200-66-4570', '588-04-7435']",['MNT-14811']
4383,Vandalismo,26-07-2024,Abierta,"['844-46-4698', '527-19-5127']",['MNT-00519']
4384,Rotura,2024/06/26,Abierta,"['181-75-0998', '348-54-8177']",['MNT-00070']
4385,Rotura,23/02/2024,Cerrada,"['726-75-7370', '248-25-5914', '974-31-9203']",['MNT-08578']
4386,Desgaste,01-05-2024,Abierta,"['504-38-7684', '037-61-1644', '358-75-9776']","['MNT-08247', 'MNT-11804', 'MNT-12684']"
4387,Mal funcionamiento,20-06-2024,Cerrada,['049-11-4125'],['MNT-03749']
4388,Mal funcionamiento,10-06-2024,Cerrada,"['690-11-8503', '372-00-1374']","['MNT-05197', 'MNT-13163']"
4389,Mal funcionamiento,2024-02-07,Abierta,"['334-54-9587', '796-43-8308', '715-86-9644']",['MNT-11886']
4390,Rotura,10-24-2023,Abierta,['471-34-5734'],['MNT-02266']
4391,Desgaste,01-04-2024,Cerrada,"['324-34-7133', '151-70-9277', '404-30-7264']",['MNT-13544']
4392,Desgaste,2024-06-09,Abierta,"['438-71-5899', '323-67-0377']",['MNT-14755']
4393,Mal funcionamiento,03-31-2024,Cerrada,"['634-10-3384', '844-51-9154']","['MNT-01283', 'MNT-11701', 'MNT-13013']"
4394,Mal funcionamiento,2024/01/29,Cerrada,['643-92-6910'],['MNT-11123']
4395,Vandalismo,2023/11/02,Abierta,"['401-30-7646', '946-93-7538', '929-26-8695']","['MNT-01542', 'MNT-02861', 'MNT-14225']"
4396,Desgaste,06-15-2024,Abierta,['334-26-4279'],"['MNT-01637', 'MNT-14182']"
4397,Mal funcionamiento,2023/12/12,Abierta,"['484-87-2579', '176-58-1345', '042-74-8557']",['MNT-00297']
4398,Vandalismo,05/01/2024,Cerrada,"['303-49-1600', '611-68-9501']","['MNT-10931', 'MNT-14806']"
4399,Vandalismo,2023/11/26,Abierta,"['515-50-6939', '315-28-7015']",['MNT-02324']
4400,Vandalismo,03-14-2024,Cerrada,"['506-84-9196', '828-44-2703', '738-70-3572']",['MNT-13602']
4401,Vandalismo,2024-08-11,Abierta,"['033-84-7505', '929-26-8695', '924-82-3459']",['MNT-07916']
4402,Vandalismo,2023/10/22,Cerrada,"['356-88-8764', '078-91-4954', '837-77-9472']",['MNT-13629']
4403,Desgaste,18/05/2024,Cerrada,"['010-19-8165', '680-66-8045']",['MNT-12047']
4404,Rotura,2024/04/25,Abierta,"['513-41-1017', '337-89-3678']","['MNT-01943', 'MNT-12778']"
4405,Desgaste,2024-06-04,Cerrada,"['346-28-0398', '974-87-1699', '423-85-1405']",['MNT-09662']
4406,Desgaste,30/07/2024,Cerrada,['102-73-9942'],['MNT-08034']
4407,Desgaste,2024-05-17,Abierta,['913-71-6806'],['MNT-08500']
4408,Desgaste,01-08-2024,Abierta,['113-34-5907'],['MNT-09685']
4409,Mal funcionamiento,24-05-2024,Abierta,['438-22-9747'],"['MNT-12393', 'MNT-12714']"
4410,Vandalismo,2024-09-02,Cerrada,['705-91-9110'],['MNT-11103']
4411,Rotura,2023-12-03,Abierta,['378-62-9773'],['MNT-07926']
4412,Rotura,2024-05-12,Cerrada,['788-39-8876'],"['MNT-04754', 'MNT-09625', 'MNT-11235']"
4413,Vandalismo,10/12/2023,Abierta,['496-15-0226'],['MNT-03628']
4414,Rotura,06-26-2024,Abierta,['304-50-8302'],['MNT-01960']
4415,Mal funcionamiento,01-16-2024,Abierta,['638-78-3442'],['MNT-03960']
4416,Mal funcionamiento,24-11-2023,Cerrada,['724-19-7936'],['MNT-08391']
4417,Vandalismo,2024/03/31,Cerrada,['102-29-3683'],['MNT-11130']
4418,Rotura,17/06/2024,Abierta,['884-65-1809'],"['MNT-01460', 'MNT-07428']"
4419,Rotura,2024/07/05,Abierta,['315-78-0454'],['MNT-05560']
4420,Mal funcionamiento,2023/10/22,Abierta,['870-43-3138'],"['MNT-01470', 'MNT-06436']"
4421,Mal funcionamiento,21/02/2024,Cerrada,['989-44-9434'],"['MNT-03937', 'MNT-12034']"
4422,Rotura,04-18-2024,Abierta,['221-92-1012'],['MNT-02641']
4423,Mal funcionamiento,19/03/2024,Abierta,['933-00-2949'],['MNT-13209']
4424,Rotura,2024/10/07,Cerrada,['094-78-3964'],['MNT-12723']
4425,Mal funcionamiento,30/03/2024,Cerrada,['388-10-4290'],['MNT-14717']
4426,Rotura,2024-01-28,Cerrada,['092-00-2589'],['MNT-09269']
4427,Vandalismo,2024-01-23,Cerrada,['568-97-7984'],['MNT-14819']
4428,Rotura,01-02-2024,Cerrada,['387-77-4032'],['MNT-04020']
4429,Rotura,2024/04/04,Abierta,['397-73-6330'],['MNT-14819']
4430,Vandalismo,29/01/2024,Cerrada,['068-49-3269'],['MNT-11032']
4431,Mal funcionamiento,2023/10/26,Cerrada,['407-80-8163'],"['MNT-04711', 'MNT-12837']"
4432,Rotura,2024/01/25,Cerrada,['561-31-0691'],['MNT-00789']
4433,Mal funcionamiento,27-12-2023,Abierta,['538-09-5830'],['MNT-02992']
4434,Rotura,2024-03-23,Abierta,['261-59-6703'],"['MNT-00122', 'MNT-10513']"
4435,Mal funcionamiento,28/03/2024,Abierta,['664-13-6582'],['MNT-00824']
4436,Vandalismo,2024/02/15,Cerrada,['365-43-3964'],['MNT-06261']
4437,Desgaste,2024-08-12,Cerrada,['404-28-7252'],['MNT-06720']
4438,Rotura,04-10-2024,Cerrada,['687-27-0788'],['MNT-10304']
4439,Desgaste,29-10-2023,Abierta,['982-27-6070'],"['MNT-10403', 'MNT-12110']"
4440,Mal funcionamiento,2024/01/13,Cerrada,['958-77-1100'],['MNT-02184']
4441,Mal funcionamiento,2024-07-28,Abierta,['521-85-9915'],['MNT-01905']
4442,Rotura,12-04-2023,Abierta,['793-24-1585'],['MNT-00978']
4443,Mal funcionamiento,19/12/2023,Abierta,['160-52-9831'],"['MNT-01640', 'MNT-03120']"
4444,Vandalismo,06-02-2024,Abierta,['826-52-5734'],"['MNT-05216', 'MNT-05776']"
4445,Mal funcionamiento,02-04-2024,Cerrada,['146-69-9657'],['MNT-06045']
4446,Desgaste,06-12-2023,Cerrada,['907-49-9130'],"['MNT-07517', 'MNT-08999']"
4447,Desgaste,11-08-2023,Abierta,['918-85-6698'],['MNT-01440']
4448,Desgaste,2024-08-09,Abierta,['266-21-9520'],['MNT-04841']
4449,Desgaste,2024-09-30,Abierta,['344-99-0455'],['MNT-06297']
4450,Desgaste,01-01-2024,Cerrada,['368-99-7083'],['MNT-04414']
4451,Rotura,12-20-2023,Cerrada,['199-97-0966'],"['MNT-02735', 'MNT-09089']"
4452,Desgaste,2024/09/28,Abierta,['846-08-8475'],['MNT-10024']
4453,Mal funcionamiento,20/04/2024,Abierta,['235-03-4422'],['MNT-13776']
4454,Mal funcionamiento,05/02/2024,Abierta,['666-13-0855'],"['MNT-01876', 'MNT-03166']"
4455,Desgaste,2024-02-21,Cerrada,['134-45-3557'],['MNT-13424']
4456,Vandalismo,2024-02-20,Abierta,['483-46-4574'],"['MNT-04470', 'MNT-10636']"
4457,Desgaste,16/09/2024,Abierta,['306-06-7506'],['MNT-07449']
4458,Mal funcionamiento,05-28-2024,Cerrada,['853-22-2993'],['MNT-03839']
4459,Mal funcionamiento,29-02-2024,Abierta,['917-89-2023'],['MNT-08627']
4460,Rotura,13-05-2024,Abierta,['404-65-0972'],['MNT-09313']
4461,Vandalismo,2024-05-02,Abierta,['982-78-2526'],"['MNT-05310', 'MNT-12407']"
4462,Vandalismo,03-31-2024,Abierta,['714-07-3920'],['MNT-12151']
4463,Mal funcionamiento,2024/07/18,Abierta,['716-98-2804'],['MNT-12736']
4464,Desgaste,17/01/2024,Abierta,['817-26-0932'],"['MNT-07254', 'MNT-10948']"
4465,Mal funcionamiento,2024/08/25,Abierta,['196-59-2836'],['MNT-03874']
4466,Rotura,23/08/2024,Abierta,['546-88-7217'],['MNT-10159']
4467,Mal funcionamiento,01-29-2024,Cerrada,['881-56-1089'],['MNT-08413']
4468,Mal funcionamiento,2024-03-10,Cerrada,['648-74-8858'],['MNT-01587']
4469,Vandalismo,2024-08-16,Abierta,['924-85-2463'],['MNT-10480']
4470,Mal funcionamiento,2024-08-07,Abierta,['554-38-5435'],"['MNT-08840', 'MNT-10344', 'MNT-11256']"
4471,Vandalismo,03-26-2024,Abierta,['558-83-0184'],['MNT-06516']
4472,Vandalismo,08/06/2024,Cerrada,['202-23-0343'],"['MNT-04397', 'MNT-04960']"
4473,Mal funcionamiento,26-03-2024,Cerrada,['539-68-1685'],"['MNT-09523', 'MNT-13028']"
4474,Mal funcionamiento,2023-11-11,Cerrada,['587-02-3632'],"['MNT-01244', 'MNT-08814']"
4475,Vandalismo,2024-08-14,Abierta,['325-45-1694'],['MNT-06469']
4476,Vandalismo,05-11-2024,Cerrada,['254-33-7131'],['MNT-05711']
4477,Desgaste,06-10-2024,Cerrada,['739-03-2325'],"['MNT-09983', 'MNT-11150', 'MNT-12050']"
4478,Mal funcionamiento,2023-12-02,Cerrada,['007-57-0046'],['MNT-13898']
4479,Rotura,2024-09-02,Abierta,['445-84-9842'],['MNT-04545']
4480,Mal funcionamiento,2024-02-18,Cerrada,['125-29-4743'],['MNT-13710']
4481,Desgaste,03-20-2024,Abierta,['177-84-7044'],"['MNT-07154', 'MNT-10475']"
4482,Rotura,25/03/2024,Abierta,['490-35-7272'],['MNT-00035']
4483,Desgaste,26-04-2024,Abierta,['035-19-5152'],['MNT-12099']
4484,Vandalismo,2024/09/02,Abierta,['727-02-6511'],['MNT-00819']
4485,Vandalismo,29-10-2023,Cerrada,['492-84-2623'],['MNT-12160']
4486,Desgaste,10-21-2023,Cerrada,['934-72-8558'],['MNT-05251']
4487,Mal funcionamiento,09-27-2024,Abierta,['613-24-9196'],['MNT-06724']
4488,Vandalismo,22/02/2024,Abierta,['262-38-5565'],['MNT-13017']
4489,Rotura,16-01-2024,Cerrada,['841-30-8402'],['MNT-08309']
4490,Mal funcionamiento,02-06-2024,Abierta,['014-88-5736'],"['MNT-11390', 'MNT-13431']"
4491,Rotura,06-08-2024,Abierta,['146-25-9572'],['MNT-10704']
4492,Desgaste,05/01/2024,Cerrada,['031-14-5860'],['MNT-02285']
4493,Vandalismo,13/08/2024,Cerrada,['789-07-8345'],"['MNT-04210', 'MNT-08832']"
4494,Rotura,07-28-2024,Cerrada,['184-10-9057'],['MNT-11378']
4495,Desgaste,06-14-2024,Cerrada,['959-50-7430'],['MNT-13931']
4496,Mal funcionamiento,02/04/2024,Cerrada,['715-49-7072'],['MNT-02643']
4497,Desgaste,2023-12-26,Cerrada,['559-69-9567'],['MNT-02436']
4498,Vandalismo,09-22-2024,Cerrada,['737-48-7109'],"['MNT-10966', 'MNT-13654']"
4499,Desgaste,2024/08/21,Abierta,['968-62-9658'],['MNT-10439']
4500,Mal funcionamiento,15-08-2024,Abierta,['499-09-5400'],"['MNT-01129', 'MNT-02517']"
4501,Rotura,26/05/2024,Cerrada,['355-12-4593'],"['MNT-06900', 'MNT-10135']"
4502,Desgaste,2024-09-09,Abierta,['410-15-6125'],['MNT-12902']
4503,Mal funcionamiento,09-15-2024,Cerrada,['718-02-1042'],['MNT-10984']
4504,Vandalismo,25/04/2024,Cerrada,['217-17-5215'],['MNT-10547']
4505,Desgaste,19/07/2024,Abierta,['186-91-8529'],"['MNT-02237', 'MNT-07352']"
4506,Desgaste,2023-12-01,Abierta,['014-11-1873'],"['MNT-03551', 'MNT-11904']"
4507,Vandalismo,2024/06/13,Cerrada,['975-44-5655'],['MNT-08596']
4508,Mal funcionamiento,2024-08-16,Abierta,['788-20-4441'],['MNT-03044']
4509,Vandalismo,06-06-2024,Cerrada,['480-65-7260'],['MNT-06860']
4510,Vandalismo,29-03-2024,Abierta,['787-44-6286'],"['MNT-01350', 'MNT-12477']"
4511,Vandalismo,2024/05/19,Abierta,['478-32-7682'],"['MNT-02162', 'MNT-10141']"
4512,Desgaste,09-17-2024,Cerrada,['675-45-9102'],['MNT-09257']
4513,Rotura,2024/08/01,Cerrada,['126-76-1447'],['MNT-12802']
4514,Vandalismo,10-19-2023,Cerrada,['584-21-3117'],['MNT-10710']
4515,Vandalismo,24/04/2024,Abierta,['013-77-5453'],['MNT-10170']
4516,Rotura,10-09-2024,Abierta,['864-58-9843'],['MNT-10398']
4517,Vandalismo,2024-07-20,Cerrada,['468-66-4549'],['MNT-00433']
4518,Desgaste,2024-07-31,Abierta,['742-18-0039'],"['MNT-07543', 'MNT-10194']"
4519,Desgaste,04-24-2024,Cerrada,['239-13-1092'],['MNT-09038']
4520,Desgaste,11/08/2024,Cerrada,['286-18-4455'],"['MNT-10062', 'MNT-12784']"
4521,Mal funcionamiento,05-04-2024,Cerrada,['826-15-3867'],['MNT-04381']
4522,Vandalismo,2024-06-05,Cerrada,['798-86-3360'],['MNT-03512']
4523,Mal funcionamiento,2024/01/19,Cerrada,['925-60-8226'],"['MNT-05203', 'MNT-14272']"
4524,Vandalismo,16-02-2024,Abierta,['893-29-5092'],"['MNT-05529', 'MNT-13627']"
4525,Rotura,2024/07/01,Cerrada,['502-49-3350'],['MNT-06334']
4526,Vandalismo,2024/02/28,Abierta,['140-15-7824'],['MNT-08687']
4527,Rotura,2024-02-23,Cerrada,['006-22-7286'],"['MNT-09752', 'MNT-11942', 'MNT-12117']"
4528,Mal funcionamiento,08-08-2024,Cerrada,['733-00-4123'],['MNT-04805']
4529,Vandalismo,19-01-2024,Abierta,['837-96-6373'],['MNT-02765']
4530,Mal funcionamiento,2024/09/25,Abierta,['926-84-7263'],['MNT-02663']
4531,Mal funcionamiento,2024-01-04,Abierta,['863-63-1255'],['MNT-13910']
4532,Vandalismo,2024-02-20,Abierta,['992-57-2431'],['MNT-01660']
4533,Rotura,12-01-2024,Abierta,['870-29-7422'],['MNT-11100']
4534,Desgaste,2024/02/04,Abierta,['885-67-2471'],['MNT-07991']
4535,Vandalismo,2023-11-03,Cerrada,['012-87-5300'],"['MNT-01192', 'MNT-06511']"
4536,Desgaste,06-03-2024,Abierta,['309-98-4879'],['MNT-13311']
4537,Vandalismo,2024/06/07,Cerrada,['649-60-0258'],['MNT-12160']
4538,Vandalismo,10-04-2024,Abierta,['767-26-5368'],['MNT-06847']
4539,Desgaste,2024/09/12,Abierta,['914-19-2656'],['MNT-13903']
4540,Rotura,13/03/2024,Cerrada,['893-91-6059'],['MNT-11139']
4541,Vandalismo,2024-08-19,Cerrada,['187-33-3726'],['MNT-04688']
4542,Desgaste,05-29-2024,Cerrada,['336-65-2485'],['MNT-13503']
4543,Mal funcionamiento,2024/06/02,Abierta,['674-36-9056'],['MNT-08010']
4544,Rotura,08-31-2024,Abierta,['816-63-6772'],"['MNT-03451', 'MNT-12639']"
4545,Desgaste,2024/07/01,Cerrada,['490-68-1600'],['MNT-12989']
4546,Mal funcionamiento,2024-08-18,Abierta,['798-42-8200'],['MNT-14338']
4547,Vandalismo,05-04-2024,Abierta,['606-79-8158'],['MNT-02306']
4548,Desgaste,04-07-2024,Cerrada,['213-81-7799'],['MNT-12450']
4549,Vandalismo,21/10/2023,Abierta,['947-77-5969'],['MNT-04336']
4550,Desgaste,2024-07-25,Abierta,['960-69-0328'],"['MNT-05925', 'MNT-07231']"
4551,Rotura,17/01/2024,Cerrada,['574-80-8314'],"['MNT-12515', 'MNT-13467', 'MNT-13992']"
4552,Desgaste,06-09-2024,Abierta,['555-21-0505'],"['MNT-09026', 'MNT-14700']"
4553,Vandalismo,08-25-2024,Abierta,['147-81-8578'],['MNT-02160']
4554,Vandalismo,26-10-2023,Cerrada,['965-06-8920'],"['MNT-10190', 'MNT-10207']"
4555,Mal funcionamiento,02-21-2024,Cerrada,['932-16-5096'],['MNT-02130']
4556,Rotura,13/03/2024,Cerrada,['147-64-6003'],"['MNT-02617', 'MNT-04857', 'MNT-06620']"
4557,Mal funcionamiento,05-22-2024,Abierta,['672-06-0610'],['MNT-11708']
4558,Vandalismo,2023/10/30,Cerrada,['994-25-1996'],['MNT-12823']
4559,Rotura,2023/12/16,Abierta,['963-86-5202'],['MNT-06469']
4560,Vandalismo,14-02-2024,Cerrada,['845-42-7909'],"['MNT-01716', 'MNT-02919']"
4561,Desgaste,04-01-2024,Cerrada,['493-62-5819'],['MNT-06266']
4562,Rotura,2023-11-12,Abierta,['759-01-9623'],['MNT-06324']
4563,Mal funcionamiento,16-05-2024,Abierta,['755-01-1850'],['MNT-02179']
4564,Vandalismo,03/03/2024,Abierta,['768-20-1982'],['MNT-05173']
4565,Vandalismo,2023/11/14,Abierta,['977-09-6170'],['MNT-08082']
4566,Desgaste,09/01/2024,Cerrada,['985-55-8275'],['MNT-06588']
4567,Desgaste,2024-08-13,Abierta,['449-90-2007'],['MNT-11510']
4568,Rotura,20/11/2023,Abierta,['247-36-5630'],['MNT-03327']
4569,Mal funcionamiento,08-10-2024,Abierta,['018-11-2957'],['MNT-01447']
4570,Rotura,2024/05/19,Abierta,['667-26-8660'],"['MNT-02162', 'MNT-10141']"
4571,Mal funcionamiento,12/01/2024,Abierta,['786-72-4861'],"['MNT-05010', 'MNT-10110']"
4572,Mal funcionamiento,31/07/2024,Cerrada,['588-60-3953'],['MNT-12225']
4573,Rotura,02-22-2024,Abierta,['203-06-8944'],['MNT-02943']
4574,Desgaste,2023/11/13,Abierta,['455-29-7597'],['MNT-02368']
4575,Mal funcionamiento,01/09/2024,Cerrada,['674-23-9982'],['MNT-14146']
4576,Mal funcionamiento,2024-02-23,Abierta,['936-13-9138'],['MNT-08483']
4577,Desgaste,03-12-2023,Abierta,['066-44-8785'],['MNT-08911']
4578,Desgaste,04-10-2024,Cerrada,['773-66-9625'],['MNT-12054']
4579,Vandalismo,09/08/2024,Cerrada,['643-58-8824'],['MNT-08581']
4580,Desgaste,2023/12/04,Cerrada,['466-91-6160'],['MNT-09685']
4581,Vandalismo,22/10/2023,Cerrada,['592-78-9822'],['MNT-11598']
4582,Vandalismo,29-02-2024,Abierta,['124-75-9686'],['MNT-01153']
4583,Vandalismo,01-04-2024,Cerrada,['649-81-6390'],['MNT-06373']
4584,Mal funcionamiento,23-04-2024,Cerrada,['052-03-2649'],['MNT-09621']
4585,Mal funcionamiento,11-19-2023,Abierta,['394-30-1837'],['MNT-09840']
4586,Rotura,15-09-2024,Cerrada,['868-98-7859'],"['MNT-06657', 'MNT-12890']"
4587,Desgaste,2023/10/22,Abierta,['856-13-7692'],"['MNT-00783', 'MNT-05055']"
4588,Rotura,09-05-2024,Cerrada,['908-80-8436'],['MNT-09160']
4589,Rotura,02-04-2024,Cerrada,['862-05-2806'],['MNT-03767']
4590,Mal funcionamiento,2023/11/14,Cerrada,['573-14-7586'],['MNT-04497']
4591,Rotura,16-08-2024,Abierta,['087-33-1310'],['MNT-01741']
4592,Desgaste,2024/06/03,Cerrada,['125-99-1930'],['MNT-04735']
4593,Mal funcionamiento,27/08/2024,Cerrada,['867-73-7489'],"['MNT-02348', 'MNT-14207']"
4594,Rotura,02-07-2024,Abierta,['634-01-3981'],['MNT-04358']
4595,Vandalismo,2023-11-19,Abierta,['949-30-1053'],['MNT-05000']
4596,Mal funcionamiento,11-09-2024,Cerrada,['458-10-1128'],"['MNT-08481', 'MNT-14747']"
4597,Rotura,19/03/2024,Abierta,['663-74-7015'],['MNT-11051']
4598,Vandalismo,2024/08/30,Abierta,['671-00-4022'],['MNT-07066']
4599,Rotura,2024-04-20,Abierta,['657-85-4966'],['MNT-08020']
4600,Vandalismo,07/04/2024,Cerrada,['768-35-5588'],"['MNT-06632', 'MNT-09170']"
4601,Vandalismo,10/08/2024,Cerrada,['345-67-8691'],"['MNT-11506', 'MNT-12060']"
4602,Desgaste,2024-10-04,Abierta,['369-76-2196'],['MNT-07768']
4603,Rotura,2023/12/26,Cerrada,['576-85-9443'],['MNT-10027']
4604,Vandalismo,12-23-2023,Abierta,['241-10-4923'],['MNT-00625']
4605,Desgaste,29/08/2024,Abierta,['673-54-3093'],['MNT-13824']
4606,Mal funcionamiento,2024-02-20,Abierta,['620-62-4998'],['MNT-04806']
4607,Desgaste,08/05/2024,Abierta,['511-93-0241'],"['MNT-05785', 'MNT-07237']"
4608,Vandalismo,29/03/2024,Abierta,['419-84-0495'],"['MNT-00122', 'MNT-10513']"
4609,Mal funcionamiento,2024/06/12,Abierta,['336-87-1559'],['MNT-13728']
4610,Vandalismo,2024-04-17,Cerrada,['364-47-0003'],['MNT-14118']
4611,Mal funcionamiento,01/09/2024,Abierta,['704-66-9982'],['MNT-04712']
4612,Desgaste,19-02-2024,Abierta,['843-89-6667'],['MNT-09351']
4613,Desgaste,2024/06/06,Cerrada,['251-07-7896'],['MNT-02968']
4614,Mal funcionamiento,2024/03/07,Abierta,['019-45-9786'],['MNT-03047']
4615,Mal funcionamiento,2024-02-03,Abierta,['052-86-8175'],['MNT-13794']
4616,Vandalismo,01-16-2024,Cerrada,['274-30-2143'],"['MNT-00081', 'MNT-12238']"
4617,Vandalismo,19/01/2024,Cerrada,['102-66-3996'],['MNT-02822']
4618,Mal funcionamiento,20-03-2024,Abierta,['413-40-4802'],['MNT-14048']
4619,Mal funcionamiento,2023-11-24,Abierta,['911-09-3736'],"['MNT-01318', 'MNT-08919']"
4620,Rotura,2024/05/27,Cerrada,['137-27-2308'],['MNT-00376']
4621,Desgaste,2024-03-02,Cerrada,['857-60-8494'],['MNT-02466']
4622,Rotura,2024-03-16,Abierta,['533-05-4932'],['MNT-04179']
4623,Desgaste,2024/03/22,Cerrada,['239-95-2447'],['MNT-06988']
4624,Desgaste,2024-04-29,Abierta,['192-11-8544'],['MNT-09229']
4625,Desgaste,01-03-2024,Cerrada,['195-75-0229'],"['MNT-03138', 'MNT-10181']"
4626,Desgaste,2024-07-31,Abierta,['483-65-2879'],['MNT-06692']
4627,Mal funcionamiento,2024-09-01,Cerrada,['907-71-6676'],"['MNT-02276', 'MNT-07884', 'MNT-12031']"
4628,Rotura,2024-02-14,Abierta,['755-65-5535'],"['MNT-00915', 'MNT-12467']"
4629,Rotura,2024/08/05,Cerrada,['292-80-3549'],['MNT-05881']
4630,Mal funcionamiento,25/03/2024,Abierta,['213-90-8654'],['MNT-13954']
4631,Desgaste,2024/03/18,Cerrada,['629-98-5523'],['MNT-10811']
